Wavelength,n,k,n,k,n
449.3,1.47137,0.00238,2.549822637,1.31E-05,1.493219481
450.1,1.47131,0.00238,2.548373338,1.24E-05,1.493104022
450.9,1.47126,0.00237,2.546964184,1.17E-05,1.492988562
451.7,1.4712,0.00237,2.545557624,1.11E-05,1.492873102
452.5,1.47115,0.00236,2.544151064,1.05E-05,1.492757643
453.3,1.47109,0.00236,2.542772362,9.99E-06,1.492642183
454.1,1.47104,0.00236,2.541406832,9.49E-06,1.492526724
454.9,1.47098,0.00235,2.540041302,8.98E-06,1.492411264
455.7,1.47093,0.00235,2.538691532,8.52E-06,1.492295804
456.5,1.47088,0.00234,2.537365419,8.10E-06,1.492180345
457.2,1.47082,0.00234,2.536039306,7.67E-06,1.492064885
458,1.47077,0.00233,2.534717049,7.27E-06,1.491951823
458.8,1.47072,0.00233,2.533428826,6.92E-06,1.49184513
459.6,1.47066,0.00233,2.532140603,6.57E-06,1.491738438
460.4,1.47061,0.00232,2.530852381,6.22E-06,1.491631745
461.2,1.47056,0.00232,2.529592754,5.92E-06,1.491525053
462,1.47051,0.00231,2.528340977,5.63E-06,1.49141836
462.8,1.47046,0.00231,2.5270892,5.33E-06,1.491311668
463.6,1.4704,0.0023,2.52585315,5.07E-06,1.491204975
464.4,1.47035,0.0023,2.524636448,4.83E-06,1.491098283
465.2,1.4703,0.0023,2.523419746,4.59E-06,1.49099159
466,1.47025,0.00229,2.52220618,4.35E-06,1.490884898
466.8,1.4702,0.00229,2.521023255,4.15E-06,1.490778205
467.6,1.47015,0.00228,2.51984033,3.94E-06,1.490671513
468.4,1.4701,0.00228,2.518657404,3.74E-06,1.49056482
469.2,1.47005,0.00228,2.517497842,3.57E-06,1.490458128
470,1.47,0.00227,2.516347459,3.40E-06,1.490352215
470.8,1.46995,0.00227,2.515197077,3.23E-06,1.490253424
471.6,1.46991,0.00226,2.514056843,3.08E-06,1.490154633
472.4,1.46986,0.00226,2.512937829,2.94E-06,1.490055842
473.1,1.46981,0.00225,2.511818815,2.79E-06,1.489957051
473.9,1.46976,0.00225,2.510699802,2.65E-06,1.48985826
474.7,1.46971,0.00225,2.509608304,2.54E-06,1.489759469
475.5,1.46967,0.00224,2.508519542,2.42E-06,1.489660678
476.3,1.46962,0.00224,2.507430781,2.30E-06,1.489561887
477.1,1.46957,0.00223,2.50635591,2.19E-06,1.489463096
477.9,1.46952,0.00223,2.505296338,2.09E-06,1.489364305
478.7,1.46948,0.00223,2.504236767,1.99E-06,1.489265514
479.5,1.46943,0.00222,2.503177825,1.90E-06,1.489166723
480.3,1.46939,0.00222,2.502146431,1.81E-06,1.489067932
481.1,1.46934,0.00222,2.501115037,1.73E-06,1.488969141
481.9,1.46929,0.00221,2.500083643,1.65E-06,1.48887035
482.7,1.46925,0.00221,2.499067184,1.57E-06,1.488778157
483.5,1.4692,0.0022,2.498063,1.50E-06,1.488686506
484.3,1.46916,0.0022,2.497058817,1.43E-06,1.488594855
485.1,1.46911,0.0022,2.496056089,1.36E-06,1.488503204
485.9,1.46907,0.00219,2.495078194,1.30E-06,1.488411553
486.7,1.46903,0.00219,2.494100299,1.25E-06,1.488319903
487.5,1.46898,0.00218,2.493122403,1.19E-06,1.488228252
488.3,1.46894,0.00218,2.492158272,1.14E-06,1.488136601
489,1.46889,0.00218,2.491205785,1.09E-06,1.48804495
489.8,1.46885,0.00217,2.490253298,1.04E-06,1.487953299
490.6,1.46881,0.00217,2.489301001,9.88E-07,1.487861648
491.4,1.46876,0.00217,2.488373079,9.47E-07,1.487769997
492.2,1.46872,0.00216,2.487445157,9.05E-07,1.487678346
493,1.46868,0.00216,2.486517236,8.64E-07,1.487586695
493.8,1.46864,0.00215,2.485600087,8.26E-07,1.487495044
494.6,1.4686,0.00215,2.484695926,7.91E-07,1.48740824
495.4,1.46855,0.00215,2.483791766,7.56E-07,1.487323058
496.2,1.46851,0.00214,2.482887605,7.22E-07,1.487237875
497,1.46847,0.00214,2.48200364,6.92E-07,1.487152692
497.8,1.46843,0.00214,2.481122469,6.63E-07,1.48706751
498.6,1.46839,0.00213,2.480241298,6.33E-07,1.486982327
499.4,1.46835,0.00213,2.479366424,6.06E-07,1.486897144
500.2,1.46831,0.00213,2.478507504,5.81E-07,1.486811962
501,1.46827,0.00212,2.477648585,5.56E-07,1.486726779
501.8,1.46823,0.00212,2.476789666,5.32E-07,1.486641596
502.6,1.46819,0.00211,2.475945111,5.10E-07,1.486556414
503.4,1.46815,0.00211,2.475107735,4.89E-07,1.486471231
504.2,1.46811,0.00211,2.47427036,4.68E-07,1.486386048
504.9,1.46807,0.0021,2.473433602,4.47E-07,1.486300866
505.7,1.46803,0.0021,2.472617093,4.29E-07,1.486215683
506.5,1.46799,0.0021,2.471800584,4.12E-07,1.486133876
507.3,1.46795,0.00209,2.470984076,3.94E-07,1.486054567
508.1,1.46791,0.00209,2.470175076,3.77E-07,1.485975257
508.9,1.46788,0.00209,2.469378783,3.62E-07,1.485895948
509.7,1.46784,0.00208,2.46858249,3.48E-07,1.485816639
510.5,1.4678,0.00208,2.467786197,3.33E-07,1.48573733
511.3,1.46776,0.00208,2.467003464,3.20E-07,1.485658021
512.1,1.46772,0.00207,2.466226762,3.07E-07,1.485578712
512.9,1.46769,0.00207,2.465450061,2.94E-07,1.485499403
513.7,1.46765,0.00207,2.464673359,2.82E-07,1.485420094
514.5,1.46761,0.00206,2.463915491,2.71E-07,1.485340785
515.3,1.46758,0.00206,2.463157781,2.60E-07,1.485261476
516.1,1.46754,0.00206,2.462400071,2.49E-07,1.485182167
516.9,1.4675,0.00205,2.46164733,2.39E-07,1.485102858
517.7,1.46747,0.00205,2.460908036,2.30E-07,1.485023548
518.5,1.46743,0.00205,2.460168742,2.21E-07,1.484946378
519.3,1.4674,0.00204,2.459429448,2.12E-07,1.484872414
520.1,1.46736,0.00204,2.458699557,2.04E-07,1.484798451
520.8,1.46732,0.00204,2.457978124,1.96E-07,1.484724488
521.6,1.46729,0.00203,2.457256692,1.89E-07,1.484650524
522.4,1.46725,0.00203,2.45653526,1.81E-07,1.484576561
523.2,1.46722,0.00203,2.455827023,1.74E-07,1.484502598
524,1.46718,0.00202,2.455122921,1.68E-07,1.484428634
524.8,1.46715,0.00202,2.454418818,1.61E-07,1.484354671
525.6,1.46711,0.00202,2.453714715,1.54E-07,1.484280708
526.4,1.46708,0.00201,2.453027005,1.49E-07,1.484206744
527.2,1.46705,0.00201,2.452339719,1.43E-07,1.484132781
528,1.46701,0.00201,2.451652433,1.37E-07,1.484058818
528.8,1.46698,0.002,2.450967859,1.32E-07,1.483984854
